rodada_id,partida_id,clube_mand,aprov_mand,posicao_mand,clube_vis,aprov_vis,posicao_vis,placar_mand,placar_vis
1,302573,275,"['v', 'v', 'd', 'v', 'v']",2,1371,"['v', 'v', 'v', 'd', 'd']",9,2.0,1.0
1,302580,327,"['e', 'd', 'd', 'd', 'd']",20,266,"['d', 'v', 'v', 'd', 'v']",4,0.0,3.0
1,302572,263,"['e', 'v', 'e', 'v', 'e']",1,276,"['d', 'e', 'd', 'e', 'e']",10,2.0,1.0
1,302575,280,"['e', 'v', 'v', 'e', 'd']",7,265,"['e', 'e', 'v', 'd', 'v']",16,2.0,1.0
1,302578,293,"['v', 'e', 'e', 'v', 'e']",6,290,"['e', 'v', 'v', 'e', 'e']",15,2.0,0.0
1,302579,356,"['d', 'd', 'd', 'v', 'v']",8,285,"['d', 'e', 'd', 'd', 'e']",14,1.0,1.0
1,302576,282,"['d', 'd', 'v', 'v', 'd']",11,267,"['d', 'd', 'v', 'e', 'v']",18,1.0,2.0
1,302571,262,"['v', 'd', 'e', 'v', 'e']",3,294,"['v', 'd', 'd', 'd', 'd']",19,3.0,0.0
1,302574,264,"['v', 'e', 'v', 'e', 'e']",13,283,"['d', 'e', 'e', 'd', 'e']",12,2.0,1.0
1,302577,284,"['v', 'e', 'd', 'v', 'd']",5,277,"['e', 'd', 'e', 'd', 'v']",17,1.0,0.0
2,302591,266,"['d', 'v', 'v', 'd', 'v']",4,293,"['v', 'e', 'e', 'v', 'e']",6,2.0,0.0
2,302593,276,"['d', 'e', 'd', 'e', 'e']",10,327,"['e', 'd', 'd', 'd', 'd']",20,3.0,0.0
2,302600,1371,"['v', 'v', 'v', 'd', 'd']",9,280,"['e', 'v', 'v', 'e', 'd']",7,1.0,1.0
2,302596,283,"['d', 'e', 'e', 'd', 'e']",12,284,"['v', 'e', 'd', 'v', 'd']",5,1.0,0.0
2,302597,285,"['d', 'e', 'd', 'd', 'e']",14,262,"['v', 'd', 'e', 'v', 'e']",3,2.0,1.0
